,MI_vs_fesc
O32,0.0644750279554609
R23,0.05222128482021127
Ne3O2,0.04829349431272245
O3Hb,0.05882535507796849
N2Ha,0.04142035840810898
S2_deficit,0.060664696773494065
Balmer_dec,0.17373435180150398
EW_Hb,0.03774575426938309
EW_O3,0.05845773972535451
beta_UV,0.009628863116093456
xi_ion,0.15764472639444715
MAB_1500,0.12221149121742947
E_BV,0.173654595371187
redshift,0.029673690592119772
