halo_id,dir,fesc_dir,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,redshift
1955,0,0.0,1.0477185377952978,0.25888319555161843,-0.1821124003583492,0.1053587182122584,-1.8446674908492966,-1.3451752886708945,3.278764245051236,271.45228694893666,366.7626204269122,-1.5927355452922751,1.4099193511000039,-15.92124190498717,0.1273882811124636,10.0
2721,0,0.0029640475672253,0.8344315232709576,0.4314088556739577,-0.39263294825343564,0.261023121694933,-1.7154328797981364,-1.2879103545963915,3.1989235598011874,140.9865149633353,274.7432407578817,-1.2493396647194417,1.406242805701849,-16.991506447366845,0.1044060570956827,10.0
10158,0,0.0001467604782664,0.5038214615482346,0.34003151656723674,-0.6699247791108291,0.12298624041437023,-1.4300622438705304,-0.9887710433831103,2.968740847608763,158.61619205525977,221.98965122668287,-0.7556235937131368,1.4084964405832072,-15.720206104243571,0.034788377726297,10.0
12827,0,0.0020969597088462,0.5727561089357849,0.5482581870209202,-0.6131389197220187,0.3433386150854858,-1.3770186142786116,-1.0365853412595456,2.9327495900390215,80.27565150344002,186.78149762863418,-1.6565585233818212,1.4031626195304592,-17.673847049882244,0.0234171720344062,10.0
12907,0,0.0026544489291298,0.8126002907393186,0.514831211902127,-0.4604240908319639,0.34138248383552394,-1.6799592106371435,-1.266834529342475,3.4892066410431495,111.55152524626872,261.13824217336673,-1.4360810093106993,1.405850385056455,-15.961932324763922,0.1853819513374749,10.0
14499,0,0.009937984496124,0.7184123424828144,0.17094067592961437,-0.46815652235197547,-0.012414035690007097,-1.7856893474494697,-1.3014599093094361,3.0093541739455305,150.28758748251377,156.27483854891352,-2.214350762291204,1.4076525427867217,-17.271811977913238,0.0474555082558489,10.0
22470,0,0.7711340573682834,0.404415870576706,0.3145455339661396,-0.7613083307013895,0.07679164781840342,-1.3725367273489084,-1.0052249228877628,2.8759462689615947,104.56760577196226,132.6036352507573,-1.5865154288836982,1.4040111613544088,-17.699781257977765,0.0051834742634958,10.0
23759,0,0.1222048772527286,0.3909747808078876,0.731588421648226,-0.7991600445416793,0.4910137667554224,-1.0350948749271893,-0.6727121651089618,3.0048582030158113,37.795873351232274,122.27562375761784,-1.8192479935410284,1.4008539367010102,-18.552726530958893,0.0460616756089021,10.0
29558,0,0.1345397776149361,0.7463775325567994,0.4518798055861595,-0.4487569131368403,0.2716453138153767,-1.5897482545746513,-1.20053487281033,2.9969243670640173,142.33651143622166,285.99584680143727,-1.3292515230407955,1.406573700044748,-18.01180243921133,0.0435969474401946,10.0
31833,0,0.0,1.5846508349447106,0.4986363098002613,0.31640538944682817,0.3647876121640934,-2.357622810564088,-1.9654792955110025,3.2495610261100563,178.88099801814883,433.8033449611339,-1.7209515826853812,1.4079105329099197,-15.377661848311684,0.1190476741998073,10.0
31855,0,0.0028152338692864,1.2113048537544842,0.6153574638768902,-0.10209683327329344,0.47068472668244965,-2.01712571773394,-1.659612276168474,3.68160212633639,66.42866447897858,207.4416607812284,-2.161805603342204,1.4076361146208423,-18.49604159084774,0.2354195889400801,10.0
32598,0,0.0002562469910391,1.045388358186699,0.47732354848787395,-0.2081629413501176,0.32414084441839464,-1.8166214423323126,-1.3789443016273282,3.251150624489297,195.70200686763712,440.64696478985655,-0.9378348639112658,1.4084113891922718,-16.863575560589943,0.1195035980741466,10.0
36968,0,0.0077747202165615,0.5997362488967752,0.6311123344291047,-0.6250897505136948,0.43152995768831204,-1.2633697301830438,-0.8290640497767754,3.233226197646962,61.40001775051439,174.54346540470272,-0.966820246505668,1.4052590166685628,-17.761750420814163,0.1143496035117884,10.0
37104,0,2.0295090617579607e-05,0.8461514682610201,0.7423019200842944,-0.4077557282034263,0.5732905235201997,-1.4548401229783536,-1.0947250432823807,3.1730841823289064,62.175090332569795,246.4819193167055,-0.5261361385970702,1.4041406622692794,-16.565194479920113,0.0968451491717737,10.0
37390,0,0.1335019896170975,1.1964411102183234,0.4830092598755442,-0.07325540251241591,0.3380700631431637,-2.0169241510389,-1.70492402805435,3.5437719287025735,172.38524255600373,397.9305586138591,-2.0905840505638493,1.4104051127030726,-17.145011270416724,0.1998480587826394,10.0
37433,0,0.0792969121140142,0.8767390778308695,0.7368720724819298,-0.3715937467804622,0.5703489964955679,-1.5185805929399407,-1.1858480026372362,3.3634114283759358,76.20141407607964,303.756782583598,-1.7723953102357135,1.4057271237028586,-17.924468877836382,0.1511507457342603,10.0
37518,0,0.0,0.9434947600721273,0.601529393557378,-0.4037082504970755,0.44167260089115956,-1.6512603774230001,-1.0736320509445392,3.542248496006888,65.25907272391535,184.43261587213115,-1.1063288668320177,1.4064021171811056,-14.795989881752163,0.19944720434461,10.0
37717,0,0.4175656078963372,0.6809544594960357,0.7384171927753727,-0.49610607899852255,0.5497405012725807,-1.1941515626132997,-0.8466749111223351,2.8692863021998605,71.54958299923247,270.5805902603945,-1.688306421437188,1.4048607832910607,-19.4165527733288,0.0030220975926638,10.0
39407,0,1.6533935903441815e-05,0.7015275828183647,0.3429306090676292,-0.4970798636014564,0.15704144692760025,-1.6658810815003804,-1.2690498595876747,2.966356021334547,99.11007187948434,151.67544037229902,-1.713235299359008,1.4049029756061213,-17.197534202536712,0.0340391828877148,10.0
39419,0,1.401103638558372e-05,0.5976739428602613,0.7802729588066128,-0.6636626919103392,0.5807967956065525,-1.214086015521147,-0.7986683313096279,3.428231252904113,40.093183838362656,160.78744009527557,-1.259146879013568,1.4046961322713234,-17.181671331681766,0.1689463207786143,10.0
41619,0,0.0013809951141689,0.8462006241706632,0.15939066565785254,-0.3175453445639391,-0.00987733634755017,-1.9025237259048282,-1.503446397889313,2.8737393000490097,118.20531974295359,124.17604533398155,-1.377086598114566,1.4089553539913198,-17.30296352605332,0.0044677957825359,10.0
