Parameter,N,Spearman r,Spearman p,Pearson r,Pearson p,Significant
M_UV,1380,-0.1435955178223536,8.447998026103552e-08,,,Yes
beta,1380,0.0690184661918606,0.010327768901938058,,,Yes
stellar_mass,1380,0.16588147309408405,5.659334589302028e-10,,,Yes
SFR,1380,0.08079158915631195,0.002669238735550112,,,Yes
sSFR,1380,-0.17274382162670157,1.0473462889657629e-10,,,Yes
metallicity,1380,0.07846093896306884,0.0035392563634132324,,,Yes
xi_ion,1320,-0.3398323995422562,4.8588798000264095e-37,,,Yes
age_star,1320,0.49302698629715086,8.782298743709013e-82,,,Yes
E(B-V),1364,-0.5012726820036792,1.115680292842734e-87,,,Yes
